Ref,Val,Package,PosX,PosY,Rot,Side
"C11","1u","C0402",141.750000,-78.350000,0.000000,bottom
"C12","4u7","C0402",145.606100,-84.083600,270.000000,bottom
"C13","4u7","C0402",145.606100,-85.353600,270.000000,bottom
"C14","100n","C0402",138.621100,-129.168600,90.000000,bottom
"C15","100n","C0402",139.800000,-118.800000,0.000000,bottom
"C16","10u","C0402",155.766100,-80.273600,0.000000,bottom
"C17","10u","C0402",153.226100,-80.273600,0.000000,bottom
"C23","4u7","C0402",148.146100,-77.098600,270.000000,bottom
"C28","100n","C0402",137.351100,-90.433600,90.000000,bottom
"C30","1u","C0402",144.050000,-129.150000,90.000000,bottom
"D1","MBR0520LT","SOD123",137.351100,-78.368600,270.000000,bottom
"D2","MBR0520LT","SOD123",150.686100,-73.923600,90.000000,bottom
"D8","PESD0402-140","0402-TVS",143.066100,-74.558600,0.000000,bottom
"D9","PESD0402-140","0402-TVS",143.066100,-73.288600,0.000000,bottom
"D10","PESD0402-140","0402-TVS",143.066100,-72.018600,0.000000,bottom
"D11","PESD0402-140","0402-TVS",158.941100,-80.908600,270.000000,bottom
"D12","PESD0402-140","0402-TVS",160.211100,-80.908600,270.000000,bottom
"D13","PESD0402-140","0402-TVS",160.211100,-87.258600,90.000000,bottom
"D14","PESD0402-140","0402-TVS",161.481100,-87.258600,90.000000,bottom
"F1","6V/0.5A","1206",137.351100,-84.083600,270.000000,bottom
"IC3","ADS1232","TSSOP24",141.161100,-124.088600,180.000000,bottom
"IC4","DS18B20U","UMAX8",162.116100,-91.703600,0.000000,bottom
"IC5","XC6220B331","SOT25",154.496100,-83.448600,270.000000,bottom
"IC7","TPS22919","sot-sc70-6",141.750000,-131.550000,180.000000,bottom
"L2","SM-1206","SM-1206",148.146100,-73.923600,270.000000,bottom
"P1","PKMCS","PKMCS_BUZZER",141.161100,-108.848600,270.000000,bottom
"R3","0R","C0402",143.701100,-78.368600,180.000000,bottom
"R4","1k18","C0402",139.891100,-78.368600,180.000000,bottom
"R5","680R","C0402",145.606100,-78.368600,180.000000,bottom
"R15","NTC 103AT","C0402",147.511100,-81.226100,90.000000,bottom
"R16","4M7","C0402",137.351100,-94.243600,90.000000,bottom
"R17","10M","C0402",137.351100,-92.338600,270.000000,bottom
"R18","4k7","C0402",159.576100,-90.116100,180.000000,bottom
"TP10","TPTP08R","TP08R",159.258600,-92.338600,180.000000,bottom
"TP11","TPTP08R","TP08R",149.098600,-91.703600,180.000000,bottom
"TP12","TPTP08R","TP08R",158.941100,-87.893600,180.000000,bottom
