"Ref","Val","Package","PosX","PosY","Rot","Side"
"C1","100n","C0402","146.241100","-84.083600","270.000000","top"
"C2","1u","C0402","149.416100","-84.083600","90.000000","top"
"C3","15p","C0402","138.621100","-85.988600","270.000000","top"
"C4","15p","C0402","138.621100","-88.528600","270.000000","top"
"C5","100n","C0402","146.300000","-98.200000","270.000000","top"
"C6","100n","C0402","152.591100","-86.306100","180.000000","top"
"C7","100n","C0402","140.526100","-91.703600","0.000000","top"
"C8","10u","C0402","146.241100","-82.178600","270.000000","top"
"C9","10u","C0402","138.621100","-91.703600","0.000000","top"
"C10","100p","C0402","157.671100","-92.338600","270.000000","top"
"C18","47p","C0402","142.748600","-129.486100","270.000000","top"
"C19","47p","C0402","142.748600","-133.296100","270.000000","top"
"C20","47p","C0402","142.748600","-137.106100","270.000000","top"
"C21","47p","C0402","156.083600","-133.931100","90.000000","top"
"C22","100n","C0402","156.083600","-135.518600","90.000000","top"
"C24","10u","C0402","161.481100","-108.213600","90.000000","top"
"C25","10n","C0402","161.481100","-104.403600","90.000000","top"
"C26","47p","C0402","161.481100","-102.498600","90.000000","top"
"C27","100n","C0402","161.481100","-106.308600","90.000000","top"
"D4","PESD0402-140","0402-TVS","142.748600","-135.518600","180.000000","top"
"D5","PESD0402-140","0402-TVS","156.083600","-132.343600","0.000000","top"
"D6","PESD0402-140","0402-TVS","142.748600","-131.708600","180.000000","top"
"D7","PESD0402-140","0402-TVS","142.748600","-127.898600","180.000000","top"
"IC1","ATSAMD21G","TQFP48","143.496100","-87.068600","270.000000","top"
"IC6","SARA-N2","SARA-N2","151.321100","-102.498600","0.000000","top"
"J1","U.FL","U.FL","154.813600","-98.053600","270.000000","top"
"K1","693043020611","693043020611","149.416100","-129.168600","0.000000","top"
"L1","SM-1206","SM-1206","140.550000","-97.600000","0.000000","top"
"LED1","LEDCHIPLED_0603","CHIPLED_0603","139.891100","-79.638600","180.000000","top"
"LED2","LEDCHIPLED_0603","CHIPLED_0603","141.478600","-79.638600","180.000000","top"
"LED3","WL-SFCD_0606_150066M153000","WL-SFCX_0606","154.296100","-71.213600","270.000000","top"
"Q1","32768 Hz","FC135","141.161100","-87.258600","270.000000","top"
"R1","330","C0402","157.671100","-88.528600","270.000000","top"
"R2","2k2","C0402","157.671100","-90.433600","90.000000","top"
"R6","1k","C0402","139.891100","-76.463600","180.000000","top"
"R7","1k","C0402","141.478600","-76.463600","180.000000","top"
"R8","2k2","C0402","155.931100","-74.388600","0.000000","top"
"R9","10k","C0402","154.661100","-74.388600","0.000000","top"
"R10","4k7","C0402","153.391100","-74.388600","0.000000","top"
"R11","0R","C0402","141.796100","-112.023600","270.000000","top"
"R12","0R","C0402","141.796100","-113.611100","270.000000","top"
"R13","2k","C0402","136.716100","-108.213600","0.000000","top"
"R14","2k","C0402","138.621100","-108.213600","0.000000","top"
"X1","WURTH-430","WURTH-430","162.116100","-92.338600","270.000000","top"
"TP1","TPTP08R","TP08R","142.431100","-105.673600","0.000000","top"
"TP2","TPTP08R","TP08R","142.431100","-119.008600","0.000000","top"
"TP3","TPTP08R","TP08R","148.146100","-127.263600","0.000000","top"
"TP4","TPTP08R","TP08R","153.861100","-90.751100","0.000000","top"
"TP6","TPTP08R","TP08R","141.637350","-91.862350","0.000000","top"
"TP7","TPTP08R","TP08R","145.050000","-96.950000","0.000000","top"
"TP8","TPTP08R","TP08R","146.241100","-85.512350","0.000000","top"
"TP9","TPTP08R","TP08R","145.129850","-85.512350","0.000000","top"
