"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC3";"TSSOP24";1;"ADS1232";;;
2;"IC1";"TQFP48";1;"ATSAMD21G";;;
3;"C2,C11,C30";"C0402";3;"1u";;;
4;"C3,C4";"C0402";2;"15p";;;
5;"C5,C6,C7,C1,C14,C15,C22,C27,C28";"C0402";9;"100n";;;
6;"C8,C9,C16,C17,C24";"C0402";5;"10u";;;
7;"L1,L2";"SM-1206";2;"SM-1206";;;
8;"C10";"C0402";1;"100p";;;
9;"R1";"C0402";1;"330";;;
10;"R2,R8";"C0402";2;"2k2";;;
11;"S1";"WURTH-430";1;"WURTH-430";;;
12;"D1,D2";"SOD123";2;"MBR0520LT";;;
13;"C12,C13,C23";"C0402";3;"4u7";;;
14;"X1";"USBMICRO";1;"USB_MICRO_SHIELD";;;
15;"JP1";"1X02_2MM";1;"Solar";;;
16;"JP2";"1X03-2MM";1;"Battery";;;
17;"IC2";"VQFN16";1;"BQ2407X";;;
18;"R3,R11,R12";"C0402";3;"0R";;;
19;"R4";"C0402";1;"1k18";;;
20;"R5";"C0402";1;"680R";;;
21;"LED1,LED2";"CHIPLED_0603";2;"LEDCHIPLED_0603";;;
22;"R6,R7";"C0402";2;"1k";;;
23;"LED3";"WL-SFCX_0606";1;"WL-SFCD_0606_150066M153000";;;
24;"R9";"C0402";1;"10k";;;
25;"R10,R18";"C0402";2;"4k7";;;
26;"Q1";"FC135";1;"32768 Hz";;;
27;"IC4";"UMAX8";1;"DS18B20U";;;
28;"IC5";"SOT25";1;"XC6220B331";;;
29;"K1";"693043020611";1;"693043020611";;;
30;"IC6";"SARA-N2";1;"SARA-N2";;;
31;"C18,C19,C20,C21,C26";"C0402";5;"47p";;;
32;"D5,D4,D6,D7,D8,D9,D10,D11,D12,D13,D14";"0402-TVS";11;"PESD0402-140";;;
33;"C25";"C0402";1;"10n";;;
34;"R13,R14";"C0402";2;"2k";;;
35;"F1";"1206";1;"6V/0.5A";;;
36;"H1,H2,H3,H4";"2,8-PAD";4;"MOUNT-PAD-ROUND2.8";;;
37;"JP3";"1X05-2MM";1;"Sens1";;;
38;"JP4";"1X05-2MM";1;"Sens2";;;
39;"JP6";"1X04-2MM";1;"I2C";;;
40;"JP5";"1X05-2MM";1;"SWD";;;
41;"J1";"U.FL";1;"U.FL";;;
42;"JP7";"1X05-2MM";1;"I2S";;;
43;"P1";"PKMCS_BUZZER";1;"PKMCS";;;
44;"R16";"C0402";1;"4M7";;;
45;"R17";"C0402";1;"10M";;;
46;"TP1,TP2,TP3,TP4,TP6,TP8,TP9,TP10,TP11,TP12,TP7";"TP08R";11;"TPTP08R";;;
47;"R15";"C0402";1;"NTC 103AT";;;
48;"JP8";"1X03-2MM";1;"ext. DS18B20";;;
49;"IC7";"sot-sc70-6";1;"TPS22919";;;
